date,IaaS
2017-09-03,84.0
2017-09-04,83.71428571428571
2017-09-05,83.42857142857143
2017-09-06,83.14285714285714
2017-09-07,82.85714285714286
2017-09-08,82.57142857142857
2017-09-09,82.28571428571429
2017-09-10,82.0
2017-09-11,82.14285714285714
2017-09-12,82.28571428571429
2017-09-13,82.42857142857143
2017-09-14,82.57142857142857
2017-09-15,82.71428571428571
2017-09-16,82.85714285714286
2017-09-17,83.0
2017-09-18,83.85714285714286
2017-09-19,84.71428571428571
2017-09-20,85.57142857142857
2017-09-21,86.42857142857143
2017-09-22,87.28571428571429
2017-09-23,88.14285714285714
2017-09-24,89.0
2017-09-25,87.71428571428571
2017-09-26,86.42857142857143
2017-09-27,85.14285714285714
2017-09-28,83.85714285714286
2017-09-29,82.57142857142857
2017-09-30,81.28571428571428
2017-10-01,80.0
2017-10-02,80.85714285714286
2017-10-03,81.71428571428571
2017-10-04,82.57142857142857
2017-10-05,83.42857142857143
2017-10-06,84.28571428571429
2017-10-07,85.14285714285714
2017-10-08,86.0
2017-10-09,85.57142857142857
2017-10-10,85.14285714285714
2017-10-11,84.71428571428571
2017-10-12,84.28571428571429
2017-10-13,83.85714285714286
2017-10-14,83.42857142857143
2017-10-15,83.0
2017-10-16,83.28571428571429
2017-10-17,83.57142857142857
2017-10-18,83.85714285714286
2017-10-19,84.14285714285714
2017-10-20,84.42857142857143
2017-10-21,84.71428571428571
2017-10-22,85.0
2017-10-23,85.42857142857143
2017-10-24,85.85714285714286
2017-10-25,86.28571428571429
2017-10-26,86.71428571428571
2017-10-27,87.14285714285714
2017-10-28,87.57142857142857
2017-10-29,88.0
2017-10-30,87.71428571428571
2017-10-31,87.42857142857143
2017-11-01,87.14285714285714
2017-11-02,86.85714285714286
2017-11-03,86.57142857142857
2017-11-04,86.28571428571429
2017-11-05,86.0
2017-11-06,86.42857142857143
2017-11-07,86.85714285714286
2017-11-08,87.28571428571429
2017-11-09,87.71428571428571
2017-11-10,88.14285714285714
2017-11-11,88.57142857142857
2017-11-12,89.0
2017-11-13,88.57142857142857
2017-11-14,88.14285714285714
2017-11-15,87.71428571428571
2017-11-16,87.28571428571429
2017-11-17,86.85714285714286
2017-11-18,86.42857142857143
2017-11-19,86.0
2017-11-20,85.42857142857143
2017-11-21,84.85714285714286
2017-11-22,84.28571428571429
2017-11-23,83.71428571428571
2017-11-24,83.14285714285714
2017-11-25,82.57142857142857
2017-11-26,82.0
2017-11-27,81.57142857142857
2017-11-28,81.14285714285714
2017-11-29,80.71428571428571
2017-11-30,80.28571428571429
2017-12-01,79.85714285714286
2017-12-02,79.42857142857143
2017-12-03,79.0
2017-12-04,78.85714285714286
2017-12-05,78.71428571428571
2017-12-06,78.57142857142857
2017-12-07,78.42857142857143
2017-12-08,78.28571428571429
2017-12-09,78.14285714285714
2017-12-10,78.0
2017-12-11,77.85714285714286
2017-12-12,77.71428571428571
2017-12-13,77.57142857142857
2017-12-14,77.42857142857143
2017-12-15,77.28571428571429
2017-12-16,77.14285714285714
2017-12-17,77.0
2017-12-18,74.14285714285714
2017-12-19,71.28571428571429
2017-12-20,68.42857142857143
2017-12-21,65.57142857142857
2017-12-22,62.714285714285715
2017-12-23,59.85714285714286
2017-12-24,57.0
2017-12-25,56.857142857142854
2017-12-26,56.714285714285715
2017-12-27,56.57142857142857
2017-12-28,56.42857142857143
2017-12-29,56.285714285714285
2017-12-30,56.142857142857146
2017-12-31,56.0
2018-01-01,58.57142857142857
2018-01-02,61.142857142857146
2018-01-03,63.714285714285715
2018-01-04,66.28571428571429
2018-01-05,68.85714285714286
2018-01-06,71.42857142857143
2018-01-07,74.0
2018-01-08,75.0
2018-01-09,76.0
2018-01-10,77.0
2018-01-11,78.0
2018-01-12,79.0
2018-01-13,80.0
2018-01-14,81.0
2018-01-15,80.71428571428571
2018-01-16,80.42857142857143
2018-01-17,80.14285714285714
2018-01-18,79.85714285714286
2018-01-19,79.57142857142857
