date,self-driving car
2018-02-22,14.428571428571429
2018-02-23,14.285714285714286
2018-02-24,14.142857142857142
2018-02-25,14.0
2018-02-26,13.571428571428571
2018-02-27,13.142857142857142
2018-02-28,12.714285714285715
2018-03-01,12.285714285714286
2018-03-02,11.857142857142858
2018-03-03,11.428571428571429
2018-03-04,11.0
2018-03-05,11.571428571428571
2018-03-06,12.142857142857142
2018-03-07,12.714285714285714
2018-03-08,13.285714285714285
2018-03-09,13.857142857142858
2018-03-10,14.428571428571429
2018-03-11,15.0
2018-03-12,27.142857142857142
2018-03-13,39.285714285714285
2018-03-14,51.42857142857143
2018-03-15,63.57142857142857
2018-03-16,75.71428571428571
2018-03-17,87.85714285714286
2018-03-18,100.0
2018-03-19,91.0
2018-03-20,82.0
2018-03-21,73.0
2018-03-22,64.0
2018-03-23,55.0
2018-03-24,46.0
2018-03-25,37.0
2018-03-26,34.57142857142857
2018-03-27,32.142857142857146
2018-03-28,29.714285714285715
2018-03-29,27.285714285714285
2018-03-30,24.857142857142858
2018-03-31,22.42857142857143
2018-04-01,20.0
2018-04-02,19.428571428571427
2018-04-03,18.857142857142858
2018-04-04,18.285714285714285
2018-04-05,17.714285714285715
2018-04-06,17.142857142857142
2018-04-07,16.571428571428573
2018-04-08,16.0
2018-04-09,16.142857142857142
2018-04-10,16.285714285714285
2018-04-11,16.428571428571427
2018-04-12,16.571428571428573
2018-04-13,16.714285714285715
2018-04-14,16.857142857142858
2018-04-15,17.0
2018-04-16,16.857142857142858
2018-04-17,16.714285714285715
2018-04-18,16.571428571428573
2018-04-19,16.428571428571427
2018-04-20,16.285714285714285
2018-04-21,16.142857142857142
2018-04-22,16.0
2018-04-23,15.714285714285714
2018-04-24,15.428571428571429
2018-04-25,15.142857142857142
2018-04-26,14.857142857142858
2018-04-27,14.571428571428571
2018-04-28,14.285714285714286
2018-04-29,14.0
2018-04-30,14.428571428571429
2018-05-01,14.857142857142858
2018-05-02,15.285714285714285
2018-05-03,15.714285714285714
2018-05-04,16.142857142857142
2018-05-05,16.57142857142857
2018-05-06,17.0
2018-05-07,17.0
2018-05-08,17.0
2018-05-09,17.0
2018-05-10,17.0
2018-05-11,17.0
2018-05-12,17.0
2018-05-13,17.0
2018-05-14,16.571428571428573
2018-05-15,16.142857142857142
2018-05-16,15.714285714285715
2018-05-17,15.285714285714286
2018-05-18,14.857142857142858
2018-05-19,14.428571428571429
2018-05-20,14.0
2018-05-21,14.428571428571429
2018-05-22,14.857142857142858
2018-05-23,15.285714285714285
2018-05-24,15.714285714285714
2018-05-25,16.142857142857142
2018-05-26,16.57142857142857
2018-05-27,17.0
2018-05-28,16.571428571428573
2018-05-29,16.142857142857142
2018-05-30,15.714285714285715
2018-05-31,15.285714285714286
2018-06-01,14.857142857142858
2018-06-02,14.428571428571429
2018-06-03,14.0
